data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_335.csv,12,0.04583527737473377,0.0,1,23,11,117,9
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_974.csv,13,4.556947175268502e-05,0.0,6,640,14,462,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_974.csv,13,0.0004556947175268502,0.0,1,244,21,205,24
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_974.csv,13,0.004556947175268502,0.0,1,201,20,213,23
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_974.csv,13,0.045569471752685026,0.0,1,21,11,213,9
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_143.csv,14,4.564127212276903e-05,0.0,6,134,14,184,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_143.csv,14,0.00045641272122769026,0.0,4,198,21,124,24
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_143.csv,14,0.004564127212276903,0.0,1,123,18,101,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_143.csv,14,0.04564127212276903,0.0,1,25,11,32,9
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_679.csv,15,4.5671152393012784e-05,0.0,7,201,18,376,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_679.csv,15,0.00045671152393012785,0.0,1,159,22,201,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_679.csv,15,0.0045671152393012785,0.0,1,93,15,187,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_679.csv,15,0.04567115239301278,0.0,1,16,7,197,8
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_371.csv,16,4.550780836004356e-05,0.0,6,70,13,288,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_371.csv,16,0.0004550780836004356,0.0,2,161,23,219,30
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_371.csv,16,0.004550780836004356,0.0,1,122,18,170,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_371.csv,16,0.04550780836004356,0.0,1,25,12,100,9
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_734.csv,17,4.577266573071643e-05,0.0,5,87,20,347,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_734.csv,17,0.0004577266573071643,0.0,1,128,21,129,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_734.csv,17,0.004577266573071643,0.0,1,98,14,124,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_734.csv,17,0.04577266573071643,0.0,1,4,4,41,5
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_616.csv,18,4.5750860772692775e-05,0.0,6,446,14,291,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_616.csv,18,0.0004575086077269278,0.0,1,303,23,138,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_616.csv,18,0.004575086077269278,0.0,1,198,21,72,24
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_616.csv,18,0.045750860772692775,0.0,1,32,10,67,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_602.csv,19,4.520851267796985e-05,0.0,6,179,23,286,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_602.csv,19,0.00045208512677969847,0.0,1,204,26,184,26
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_602.csv,19,0.0045208512677969845,0.0,1,104,18,121,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_602.csv,19,0.04520851267796985,0.0,2,22,13,24,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_248.csv,20,4.5224974596149246e-05,0.0,3,314,18,265,27
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_248.csv,20,0.00045224974596149245,0.0,1,145,19,196,30
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_248.csv,20,0.004522497459614925,0.0,1,119,19,158,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_248.csv,20,0.04522497459614924,0.0,1,2,2,112,2
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_483.csv,21,4.559604859630275e-05,0.0,9,403,17,461,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_483.csv,21,0.0004559604859630275,0.0,1,225,14,193,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_483.csv,21,0.004559604859630275,0.0,1,147,15,151,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_483.csv,21,0.04559604859630276,0.0,1,15,7,111,7
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_856.csv,22,4.5773838824602786e-05,0.0,6,777,18,266,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_856.csv,22,0.00045773838824602784,0.0,1,251,17,133,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_856.csv,22,0.0045773838824602784,0.0,1,159,17,116,27
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_856.csv,22,0.045773838824602786,0.0,1,40,9,78,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_418.csv,23,4.563727080765888e-05,0.0,7,330,12,431,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_418.csv,23,0.0004563727080765888,0.0,1,274,20,179,30
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_418.csv,23,0.004563727080765888,0.0,1,177,16,143,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_418.csv,23,0.045637270807658885,0.0,1,32,11,157,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_517.csv,24,4.569674698909056e-05,0.0,7,74,17,554,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_517.csv,24,0.0004569674698909056,0.0,1,154,21,150,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_517.csv,24,0.004569674698909056,0.0,1,115,20,101,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_517.csv,24,0.04569674698909056,0.0,1,16,9,51,7
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_920.csv,25,4.522058510254357e-05,0.0,6,153,21,305,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_920.csv,25,0.0004522058510254357,0.0,3,159,21,262,27
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_920.csv,25,0.004522058510254357,0.0,1,135,20,98,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_920.csv,25,0.045220585102543565,0.0,1,18,10,48,9
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_522.csv,26,4.570294572706872e-05,0.0,6,411,17,299,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_522.csv,26,0.00045702945727068715,0.0,1,259,19,127,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_522.csv,26,0.004570294572706871,0.0,1,227,19,127,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_522.csv,26,0.04570294572706872,0.0,1,34,8,104,9
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_851.csv,27,4.5740774030976e-05,0.0,5,200,29,268,26
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_851.csv,27,0.00045740774030975995,0.0,1,144,23,185,21
