data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards,SAMP_iters,SAMP_rewards,SB_iters,SB_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_0.csv,11,4.5474007595095246e-05,0.0,6,377,13,319,18,194,20,77,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_0.csv,11,0.0004547400759509525,0.0,1,143,20,121,21,127,15,57,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_0.csv,11,0.004547400759509525,0.0,1,147,21,111,22,158,27,51,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_0.csv,11,0.04547400759509525,0.0,1,26,11,47,9,23,10,15,8
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_123.csv,12,4.565026108238314e-05,0.0,8,86,16,397,16,279,13,121,32
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_123.csv,12,0.00045650261082383136,0.0,1,140,18,139,21,154,24,44,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_123.csv,12,0.004565026108238314,0.0,1,142,26,132,23,83,17,32,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_123.csv,12,0.04565026108238314,0.0,1,21,10,23,8,23,8,14,8
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_922.csv,13,4.566872864727699e-05,0.0,7,123,24,225,17,72,15,55,24
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_922.csv,13,0.00045668728647276993,0.0,1,204,21,140,26,122,27,76,23
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_922.csv,13,0.004566872864727699,0.0,1,192,19,89,17,96,17,40,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_922.csv,13,0.045668728647276995,0.0,1,53,7,50,10,32,9,12,8
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_98.csv,14,4.582584116411148e-05,0.0,7,68,13,168,11,152,15,31,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_98.csv,14,0.00045825841164111477,0.0,1,127,18,96,25,82,16,40,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_98.csv,14,0.004582584116411148,0.0,2,90,14,66,16,93,13,33,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_98.csv,14,0.04582584116411148,0.0,1,8,5,63,6,41,5,11,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_726.csv,15,4.569170940169715e-05,0.0,4,187,18,224,27,113,17,91,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_726.csv,15,0.00045691709401697144,0.0,1,175,19,189,22,85,16,31,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_726.csv,15,0.004569170940169715,0.0,2,70,13,156,13,83,17,18,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_726.csv,15,0.045691709401697145,0.0,1,11,5,3,3,3,3,3,3
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_445.csv,16,4.541403276182556e-05,0.0,7,255,13,217,14,201,14,39,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_445.csv,16,0.0004541403276182556,0.0,2,169,22,107,23,112,20,62,23
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_445.csv,16,0.004541403276182556,0.0,2,133,13,59,14,114,13,42,9
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_445.csv,16,0.04541403276182557,0.0,1,20,7,24,9,23,8,26,6
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_338.csv,17,4.5576650716754133e-05,0.0,6,157,19,411,20,218,21,91,31
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_338.csv,17,0.00045576650716754133,0.0,2,126,19,250,20,108,24,32,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_338.csv,17,0.004557665071675413,0.0,1,127,17,103,15,97,16,39,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_338.csv,17,0.04557665071675413,0.0,1,16,7,238,8,165,9,199,7
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_762.csv,18,4.585285394282035e-05,0.0,3,198,19,219,28,147,18,63,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_762.csv,18,0.0004585285394282035,0.0,1,176,21,123,19,133,22,19,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_762.csv,18,0.004585285394282035,0.0,1,89,17,96,17,72,20,31,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_762.csv,18,0.04585285394282035,0.0,2,5,4,66,4,55,4,44,3
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_927.csv,19,4.560925697599597e-05,0.0,7,64,24,331,20,259,15,52,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_927.csv,19,0.00045609256975995965,0.0,1,220,21,205,26,81,22,67,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_927.csv,19,0.0045609256975995965,0.0,1,150,20,185,21,97,17,73,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_927.csv,19,0.045609256975995965,0.0,1,18,5,51,7,8,5,16,5
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_277.csv,20,4.583902901369795e-05,0.0,6,101,18,231,14,189,19,61,20
