data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards,SAMP_iters,SAMP_rewards,SB_iters,SB_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_264.csv,11,4.574212098963437e-05,0.0,4,87,17,419,18,197,17,51,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_264.csv,11,0.0004574212098963437,0.0,2,122,19,233,15,85,19,79,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_264.csv,11,0.004574212098963437,0.0,1,101,23,73,12,52,13,40,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_264.csv,11,0.04574212098963437,0.0,1,11,9,221,9,139,9,15,9
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_517.csv,12,4.569674698909056e-05,0.0,7,71,17,554,13,97,17,43,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_517.csv,12,0.0004569674698909056,0.0,1,147,23,150,20,105,22,49,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_517.csv,12,0.004569674698909056,0.0,1,121,20,101,17,97,15,21,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_517.csv,12,0.04569674698909056,0.0,1,16,9,51,7,13,8,13,7
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_861.csv,13,4.550794908986822e-05,0.0,7,199,17,343,18,101,16,54,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_861.csv,13,0.0004550794908986822,0.0,2,160,20,136,21,52,13,35,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_861.csv,13,0.004550794908986822,0.0,1,148,22,54,12,93,14,37,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_861.csv,13,0.04550794908986822,0.0,1,4,4,20,4,10,4,2,2
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_451.csv,14,4.528623081035674e-05,0.0,3,90,18,258,19,169,22,41,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_451.csv,14,0.0004528623081035674,0.0,1,106,24,87,15,89,19,43,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_451.csv,14,0.004528623081035674,0.0,1,38,11,46,11,89,17,41,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_451.csv,14,0.04528623081035674,0.0,1,3,3,3,3,3,3,3,3
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_697.csv,15,4.566350957368016e-05,0.0,3,211,26,445,26,198,15,90,28
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_697.csv,15,0.0004566350957368016,0.0,1,214,22,209,14,122,19,18,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_697.csv,15,0.004566350957368016,0.0,1,150,24,203,15,133,21,15,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_697.csv,15,0.045663509573680164,0.0,1,79,12,76,12,33,11,14,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_410.csv,16,4.576904436603353e-05,0.0,4,163,13,284,19,122,20,63,23
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_410.csv,16,0.00045769044366033527,0.0,1,135,18,163,23,83,22,43,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_410.csv,16,0.004576904436603352,0.0,1,106,20,98,15,77,21,107,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_410.csv,16,0.045769044366033525,0.0,2,7,5,41,5,61,5,6,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_95.csv,17,4.56190166686188e-05,0.0,6,278,17,330,19,115,22,63,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_95.csv,17,0.000456190166686188,0.0,1,153,24,109,21,115,21,21,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_95.csv,17,0.00456190166686188,0.0,1,123,14,83,20,110,15,28,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_95.csv,17,0.045619016668618804,0.0,1,41,12,37,11,49,10,15,11
